compound_id,std_smiles,inchikey,scaffold,generic_scaffold,mw,logp,tpsa,hbd,hba,rotbonds,rings,aromatic_rings,heavy_atoms,fsp3,qed,is_pains,pIC50_func_CHEMBL233,pIC50_func_CHEMBL233_relation,pIC50_func_CHEMBL237,pIC50_func_CHEMBL237_relation,pEC50_CHEMBL233,pEC50_CHEMBL233_relation,pEC50_CHEMBL236,pEC50_CHEMBL236_relation,pAC50_CHEMBL233,pAC50_CHEMBL233_relation,pAC50_CHEMBL236,pAC50_CHEMBL236_relation,pEC50_CHEMBL237,pEC50_CHEMBL237_relation,pAC50_CHEMBL237,pAC50_CHEMBL237_relation,pIC50_func_CHEMBL2014,pIC50_func_CHEMBL2014_relation,pIC50_func_CHEMBL236,pIC50_func_CHEMBL236_relation,pEC50_CHEMBL2014,pEC50_CHEMBL2014_relation
CHEMBL272939,CCOCOC1CC(C(=O)OC)[C@]2(C)CCC3C(=O)O[C@H](c4ccoc4)C[C@]3(C)C2C1=O,ICVTXAUKIHJDGV-PXWYVGGISA-N,O=C1O[C@H](c2ccoc2)CC2C1CCC1CCCC(=O)C12,CC1CC(C2CCCC2)CC2C1CCC1CCCC(C)C12,448.51,3.45,101.3,0,8,6,4,1,32,0.708,0.371,False,,,,,,,,,,,,,9.8539,exact,,,,,,,,
CHEMBL370538,CN(C(=O)Cc1ccc(CNS(=O)(=O)Cc2cccs2)cc1)[C@H](CN1CC[C@H](O)C1)c1ccccc1,ICXBFICRTSSMNH-AZGAKELHSA-N,O=C(Cc1ccc(CNS(=O)(=O)Cc2cccs2)cc1)N[C@H](CN1CCCC1)c1ccccc1,CC(CC1CCC(CCC(C)(C)CC2CCCC2)CC1)CC(CC1CCCC1)C1CCCCC1,527.71,3.18,90.0,2,6,11,4,3,36,0.37,0.4,False,,,,,,,,,,,,,8.3188,exact,,,,,,,,
PUBCHEM:44399648,CN(C(=O)Cc1ccc(CNS(=O)(=O)Cc2cccs2)cc1)C(CN1CCC(O)C1)c1ccccc1,ICXBFICRTSSMNH-UHFFFAOYSA-N,O=C(Cc1ccc(CNS(=O)(=O)Cc2cccs2)cc1)NC(CN1CCCC1)c1ccccc1,CC(CC1CCC(CCC(C)(C)CC2CCCC2)CC1)CC(CC1CCCC1)C1CCCCC1,527.71,3.18,89.9,2,6,11,4,3,36,0.37,0.4,False,,,,,,,,,,,,,8.3188,exact,,,,,,,,
CHEMBL5864336,Cc1nc(-c2cc3cc(C)c(F)cc3nc2N2CCC(NC3CCCCC3)CC2)no1,ICZFEYQFWCKZCN-UHFFFAOYSA-N,c1ccc2nc(N3CCC(NC4CCCCC4)CC3)c(-c3ncon3)cc2c1,C1CCC(CC2CCC(C3CC4CCCCC4CC3C3CCCC3)CC2)CC1,423.54,4.93,67.1,1,6,4,5,3,31,0.542,0.642,False,,,7.8861,exact,,,,,,,,,,,,,,,,,,
CHEMBL1200531,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,IDBPHNDTYPBSNI-UHFFFAOYSA-N,O=c1[nH]nnn1CCN1CCC(Nc2ccccc2)CC1,CC1CCCC1CCC1CCC(CC2CCCCC2)CC1,416.53,1.38,85.5,0,6,9,3,2,30,0.619,0.614,False,,,,,6.4932,exact,5.45665,exact,,,,,,,,,,,,,,
PUBCHEM:13738,CCN(CC)CCc1nc(-c2ccccc2)no1,IDCHQQSVJAAUQQ-UHFFFAOYSA-N,c1ccc(-c2ncon2)cc1,C1CCC(C2CCCC2)CC1,245.33,2.62,42.2,0,4,6,2,2,18,0.429,0.784,False,,,,,,,,,4.5229,exact,,,,,,,,,,,,
PUBCHEM:6540466,NC(=O)OCC1C(=NC(=O)C(NOCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,IDGIWLYTKRMSEG-UHFFFAOYSA-N,O=C(Cc1cscn1)N=C1CNC1=O,CC(CC1CCCC1)CC1CCC1C,466.41,-2.55,253.9,5,12,9,2,1,30,0.333,0.143,False,,,,,,,,,4.5229,exact,4.5229,exact,,,4.5229,exact,,,,,,
PUBCHEM:90411783,COc1ccccc1-c1ccnc2[nH]c(C3CCN(CC(=O)N(C)C)CC3)cc12,IDGXENIAWADDLS-UHFFFAOYSA-N,c1ccc(-c2ccnc3[nH]c(C4CCNCC4)cc23)cc1,C1CCC(C2CC3CCCC(C4CCCCC4)C3C2)CC1,392.5,3.51,61.5,1,4,5,4,3,29,0.391,0.722,False,,,7.0862,exact,,,,,,,,,,,,,,,7.0862,exact,,
PUBCHEM:65394,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,IDKAXRLETRCXKS-UHFFFAOYSA-N,c1ccc(Oc2ccccc2)cc1,C1CCC(CC2CCCCC2)CC1,297.14,4.41,46.5,1,2,4,2,2,19,0.071,0.909,False,,,,,,,,,4.5229,exact,4.5229,exact,,,5.0,exact,,,,,,
PUBCHEM:646155,O=C(c1ccco1)N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,IDNJGJKFUHTLFV-UHFFFAOYSA-N,O=C(c1ccco1)N1CCN(CCCCN2C(=O)c3ccccc3C2=O)CC1,CC(C1CCCC1)C1CCC(CCCCC2C(C)C3CCCCC3C2C)CC1,381.43,2.11,74.1,0,5,6,4,2,28,0.381,0.566,False,,,,,4.034,exact,,,,,,,,,,,,,,,,
